target,horizon_minutes,n,rmse,nrmse,mae,bias,r2,resolution,resolution_minutes,model,feature_set,candidate_id,split,fit_seconds,inference_seconds
temperature,480,2742,1.52329338329166,0.315528469705629,1.1348130484272037,0.21695281768029218,0.8875506555408909,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,1.2619137999136,0.27053540002088994
relative_humidity,60,2742,2.1304146350751973,0.18243398534771535,1.4366524696451028,-0.112964640817309,0.9689014718100956,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,1.2619137999136,0.27053540002088994
relative_humidity,120,2742,3.006610942789029,0.26038779586685507,2.0382017317614296,-0.020158179708531884,0.9386015443407633,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,1.2619137999136,0.27053540002088994
relative_humidity,240,2742,4.2102137371070265,0.35076684095846716,3.054270650741347,-0.10511333111335061,0.8818728285355153,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,1.2619137999136,0.27053540002088994
relative_humidity,480,2742,4.8074646658338445,0.3698331061807924,3.573551739194933,0.10709157312264762,0.8623628472907143,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,1.2619137999136,0.27053540002088994
temperature,60,1446,0.8633913943913402,0.19934917973832475,0.5950198233935514,0.11871330192639783,0.9512220408333454,4min,4,XGBOOST,SHT_TIME,2,validation,1.869235199992545,0.06979610002599657
temperature,120,1446,1.4649845155927155,0.34270815202508115,1.1103590424723646,0.27922477817139685,0.8592824585348763,4min,4,XGBOOST,SHT_TIME,2,validation,1.869235199992545,0.06979610002599657
temperature,240,1446,2.0143127107191217,0.44126942779783146,1.6007667705066306,0.5256661776256429,0.7520513306260999,4min,4,XGBOOST,SHT_TIME,2,validation,1.869235199992545,0.06979610002599657
temperature,480,1446,1.862891466426076,0.3339616008607893,1.3385548077975071,0.43534803862723415,0.7993268747738903,4min,4,XGBOOST,SHT_TIME,2,validation,1.869235199992545,0.06979610002599657
relative_humidity,60,1446,2.653688612749377,0.22388539016537673,1.8341475827334497,0.22766508585189893,0.94666384247066,4min,4,XGBOOST,SHT_TIME,2,validation,1.869235199992545,0.06979610002599657
