resolution,resolution_minutes,target,corrector,candidate_id,parameters,mean_validation_nrmse,mean_validation_rmse,mean_validation_r2,minimum_validation_r2,fit_seconds,inference_seconds
20min,20,temperature,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.2515600575272594,1.22436501736697,0.8973620767252063,0.8357990093613963,0.27561200002674013,0.05048770003486425
20min,20,temperature,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.25395095029791515,1.236001703641576,0.8954009171996579,0.8335567234227289,0.32304280006792396,0.06714539998210967
20min,20,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.3201565710998452,4.184861395506338,0.865904006037832,0.7792842137333079,0.489373299991712,0.1374498000368476
20min,20,relative_humidity,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.32255790809069596,4.216249982771906,0.8639429738738289,0.7764903084566097,0.5670027000596747,0.11796559998765588
20min,20,relative_humidity,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.3249636611866089,4.247696294255127,0.8624072727662631,0.7727946672378878,0.3892351998947561,0.07734070008154958
20min,20,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.2750489910522751,3.5952468524179255,0.902095714442965,0.8588466624511131,0.14014409994706511,0.03852049994748086
20min,20,relative_humidity,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.2882410602143673,3.7676842969271376,0.8901846151248045,0.8376941913667231,0.14668130001518875,0.039772699936293066
20min,20,relative_humidity,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2850610648006261,3.726117634718282,0.8925856756587444,0.8434636869043529,0.1559046000475064,0.04881760000716895
20min,20,relative_humidity,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.30781756731873455,4.023574621334607,0.878934925286419,0.8260667070113937,0.6389148000162095,0.02289649995509535
20min,20,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.2999502256357962,3.920738267293574,0.8845507604730846,0.8406358600928336,1.054193599964492,0.02320459997281432
20min,20,relative_humidity,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.30602494366073973,4.000142706389858,0.8775912173812745,0.8119013025024877,0.3563842000439763,0.022591899964027107
20min,20,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.28313766424976367,3.700976296260826,0.8952641156142174,0.8539287160254476,0.19333030004054308,0.03958849993068725
20min,20,relative_humidity,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.28597547931107886,3.738070217703347,0.8917250858236804,0.839095953730197,0.22653420001734048,0.040036399965174496
20min,20,relative_humidity,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.28693103871313036,3.7505606177567357,0.8909850916135904,0.8375826831919888,0.21494020009413362,0.039672299986705184
30min,30,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2712418367148733,1.3197171141990438,0.8776479121297924,0.81139868476829,0.18941130000166595,0.07103240001015365
30min,30,temperature,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.27241354303461696,1.3254180079170226,0.8765385108426154,0.8082731832816807,0.3984706000192091,0.09469289996195585
30min,30,temperature,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2724543904978306,1.3256167497369702,0.8764981490787829,0.8057872753476389,0.19110159995034337,0.0819274999666959
30min,30,temperature,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.2825588168216789,1.374779461913866,0.8718409169526145,0.8143865771019778,0.11492409999482334,0.04027549992315471
30min,30,temperature,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.281766189215678,1.370922961642761,0.8702358801785792,0.8049883071003225,0.14128209999762475,0.03802939993329346
