resolution,resolution_minutes,target,horizon_minutes,corrector,alpha,window_id,n,base_rmse,hybrid_rmse,gain_pct
4min,4,relative_humidity,480,RANDOM_FOREST,1.0,4,75,4.812863865772454,5.5133491688510645,-14.554438326424268
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.25,1,34,0.7362801710928129,0.7565304228907137,-2.750345940709597
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.25,2,34,0.652639166596397,0.6549656658049414,-0.35647557296897375
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.25,3,34,0.8813800183630139,0.873237793122328,0.9238041561015327
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.25,4,33,0.840362203821248,0.8445379136210329,-0.4968940512551996
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.5,1,34,0.7362801710928129,0.7879794549519878,-7.021686294015104
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.5,2,34,0.652639166596397,0.6687916186584419,-2.474943719097066
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.5,3,34,0.8813800183630139,0.8727940252836495,0.9741533618281054
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.5,4,33,0.840362203821248,0.8590719841689454,-2.226394792938242
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.75,1,34,0.7362801710928129,0.8293542743280164,-12.641125876995947
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.75,2,34,0.652639166596397,0.6934295199867448,-6.2500621289824165
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.75,3,34,0.8813800183630139,0.8800603606972832,0.14972629719717506
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,0.75,4,33,0.840362203821248,0.8834533337608224,-5.127685388946901
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,1.0,1,34,0.7362801710928129,0.8792547716779018,-19.4185048298776
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,1.0,2,34,0.652639166596397,0.7277821331876142,-11.513707794017042
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,1.0,3,34,0.8813800183630139,0.8948489967790901,-1.5281692499782455
12min,12,temperature,60,HIST_GRADIENT_BOOSTING,1.0,4,33,0.840362203821248,0.9168967468536419,-9.107328088338603
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.25,1,34,0.9928236248842272,1.0072841844864604,-1.4565084109395048
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.25,2,34,0.8309064911780842,0.8470165795231764,-1.9388569611787279
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.25,3,34,1.182282449764148,1.155262866703828,2.28537462141217
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.25,4,33,1.3809002728179114,1.4139130056180258,-2.390667410959918
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.5,1,34,0.9928236248842272,1.033072043286485,-4.0539343941328205
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.5,2,34,0.8309064911780842,0.8759499702337293,-5.421004593643395
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.5,3,34,1.182282449764148,1.1367623571625354,3.850187627389153
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.5,4,33,1.3809002728179114,1.4548174471459214,-5.352824949275459
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.75,1,34,0.9928236248842272,1.0693680400306218,-7.709769714164535
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.75,2,34,0.8309064911780842,0.916492984249126,-10.30037603265015
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.75,3,34,1.182282449764148,1.1272004646251899,4.658953124944581
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,0.75,4,33,1.3809002728179114,1.5029693991102124,-8.839822012867206
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,1.0,1,34,0.9928236248842272,1.1151465838951478,-12.320713966207709
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,1.0,2,34,0.8309064911780842,0.9671867479775209,-16.401395132467243
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,1.0,3,34,1.182282449764148,1.1268047672748407,4.692422060428492
12min,12,temperature,120,HIST_GRADIENT_BOOSTING,1.0,4,33,1.3809002728179114,1.5576968953812576,-12.802997149285012
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.25,1,34,0.8221811161430995,0.8508317724841712,-3.484713499073489
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.25,2,34,1.2548950632784166,1.202523230199497,4.173403387379501
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.25,3,34,1.5593132231929732,1.5315331246489503,1.7815598643573438
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.25,4,33,1.2562507252578228,1.3771085524159823,-9.62051800076419
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.5,1,34,0.8221811161430995,0.925847062605603,-12.608650871088672
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.5,2,34,1.2548950632784166,1.173349661836189,6.498184894375956
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.5,3,34,1.5593132231929732,1.5161744807299233,2.76652194193002
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.5,4,33,1.2562507252578228,1.5270006650025811,-21.55222156701178
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.75,1,34,0.8221811161430995,1.0372155140292274,-26.154139722263025
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.75,2,34,1.2548950632784166,1.1691122910676883,6.835852233462498
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.75,3,34,1.5593132231929732,1.5136154598785931,2.930633989033048
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,0.75,4,33,1.2562507252578228,1.6982564830007425,-35.18451761707091
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,1.0,1,34,0.8221811161430995,1.1746422530673026,-42.86903822087513
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,1.0,2,34,1.2548950632784166,1.1900775099768734,5.1651771688548305
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,1.0,3,34,1.5593132231929732,1.5239205441877457,2.269760717654572
12min,12,temperature,240,HIST_GRADIENT_BOOSTING,1.0,4,33,1.2562507252578228,1.8850623646299929,-50.054628962949884
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.25,1,34,0.8758615243337595,0.833624345339464,4.822358080682226
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.25,2,34,1.8661474471670134,1.7707645972327446,5.111217234150973
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.25,3,34,1.8044694913807064,1.7516083327602003,2.9294570439126075
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.25,4,33,1.3109040115183792,1.475747738358355,-12.57481290709016
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.5,1,34,0.8758615243337595,0.8836502108840053,-0.8892600409831215
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.5,2,34,1.8661474471670134,1.7021610269805374,8.787431048678537
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.5,3,34,1.8044694913807064,1.7216653899121515,4.588833552691249
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.5,4,33,1.3109040115183792,1.6607205541349852,-26.685137854710234
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.75,1,34,0.8758615243337595,1.0123526302461754,-15.583639892874663
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.75,2,34,1.8661474471670134,1.6636529095468628,10.850939882995647
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.75,3,34,1.8044694913807064,1.7158409120903138,4.911614173237017
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,0.75,4,33,1.3109040115183792,1.8598261860681526,-41.87355975163841
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,1.0,1,34,0.8758615243337595,1.1945668702319079,-36.38764085916179
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,1.0,2,34,1.8661474471670134,1.6573393689373817,11.189259377474272
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,1.0,3,34,1.8044694913807064,1.734377903958548,3.8843320852450187
12min,12,temperature,480,HIST_GRADIENT_BOOSTING,1.0,4,33,1.3109040115183792,2.0689885059238478,-57.82913834609469
12min,12,temperature,60,EXTRA_TREES,0.25,1,34,0.7362801710928129,0.7484788508126635,-1.656798620794712
12min,12,temperature,60,EXTRA_TREES,0.25,2,34,0.652639166596397,0.6631374217655528,-1.6085849128402234
12min,12,temperature,60,EXTRA_TREES,0.25,3,34,0.8813800183630139,0.8721226790990246,1.0503232511650253
12min,12,temperature,60,EXTRA_TREES,0.25,4,33,0.840362203821248,0.8382264349412524,0.2541486123821396
12min,12,temperature,60,EXTRA_TREES,0.5,1,34,0.7362801710928129,0.7638103412493606,-3.739088900857747
12min,12,temperature,60,EXTRA_TREES,0.5,2,34,0.652639166596397,0.6779518465190786,-3.878510702122079
12min,12,temperature,60,EXTRA_TREES,0.5,3,34,0.8813800183630139,0.8691248347783014,1.390453984590449
12min,12,temperature,60,EXTRA_TREES,0.5,4,33,0.840362203821248,0.838481242354747,0.22382747081533075
12min,12,temperature,60,EXTRA_TREES,0.75,1,34,0.7362801710928129,0.7820904245682327,-6.221850767409193
12min,12,temperature,60,EXTRA_TREES,0.75,2,34,0.652639166596397,0.6968072042781501,-6.767604511401843
12min,12,temperature,60,EXTRA_TREES,0.75,3,34,0.8813800183630139,0.8724510128701997,1.013071014407396
12min,12,temperature,60,EXTRA_TREES,0.75,4,33,0.840362203821248,0.8411244534851052,-0.09070489610207658
12min,12,temperature,60,EXTRA_TREES,1.0,1,34,0.7362801710928129,0.803117783715071,-9.077741768198845
12min,12,temperature,60,EXTRA_TREES,1.0,2,34,0.652639166596397,0.7193858223177421,-10.227191247107964
12min,12,temperature,60,EXTRA_TREES,1.0,3,34,0.8813800183630139,0.8820296716598256,-0.07370864817405992
12min,12,temperature,60,EXTRA_TREES,1.0,4,33,0.840362203821248,0.8461336854445016,-0.6867850073468111
12min,12,temperature,120,EXTRA_TREES,0.25,1,34,0.9928236248842272,1.0124672091264348,-1.9785572935473128
12min,12,temperature,120,EXTRA_TREES,0.25,2,34,0.8309064911780842,0.8402818912736468,-1.1283339575636082
12min,12,temperature,120,EXTRA_TREES,0.25,3,34,1.182282449764148,1.2052603644936977,-1.9435215953796423
12min,12,temperature,120,EXTRA_TREES,0.25,4,33,1.3809002728179114,1.3815177425370357,-0.0447150117411682
12min,12,temperature,120,EXTRA_TREES,0.5,1,34,0.9928236248842272,1.0346744654857305,-4.215334884520255
12min,12,temperature,120,EXTRA_TREES,0.5,2,34,0.8309064911780842,0.8518511951813695,-2.520705305068596
12min,12,temperature,120,EXTRA_TREES,0.5,3,34,1.182282449764148,1.2352123077076793,-4.476921564224373
12min,12,temperature,120,EXTRA_TREES,0.5,4,33,1.3809002728179114,1.3838084874394432,-0.21060279867981996
