resolution,resolution_minutes,model,family,split,target,horizon_minutes,n,mae,rmse,bias,r2,smape_pct,mase
12min,12,PERSISTENCE,reference,validation,temperature,120,135.0,2.231028806584362,3.0236525482452983,-0.018469135802469235,0.39067424337422096,9.40099402168283,1.9196463100332657
12min,12,SEASONAL_NAIVE_24H,reference,validation,temperature,120,135.0,1.2127057613168724,1.519343890602249,-0.02032304526748987,0.8461498459526599,5.480348576681303,1.0434496107793705
12min,12,ROLLING_MEAN_6H,reference,validation,temperature,120,135.0,3.790100548696845,4.935988519807876,-0.03754636488340208,-0.6238056552246345,16.308336346471616,3.2611199422833805
12min,12,DIURNAL_CLIMATOLOGY,reference,validation,temperature,120,135.0,2.2578519913409387,2.9269925841186715,2.22077563811796,0.4290093300164358,9.747706392084817,1.9427258092711683
12min,12,PERSISTENCE,reference,validation,temperature,240,135.0,4.299769547325103,5.587228936416395,-0.42730864197530877,-0.7380153969726715,18.129119300078695,3.699654939979337
12min,12,SEASONAL_NAIVE_24H,reference,validation,temperature,240,135.0,1.0985658436213992,1.3589479428281541,-0.04073045267489769,0.8971826688104839,4.904800109262221,0.9452400891519632
12min,12,ROLLING_MEAN_6H,reference,validation,temperature,240,135.0,5.3502248285322365,6.525975764450236,-0.4463858710562417,-1.3711094363971434,22.984586259465807,4.603499210601479
12min,12,DIURNAL_CLIMATOLOGY,reference,validation,temperature,240,135.0,2.125516175437648,2.6672251765012565,2.0779157616072688,0.6039226118375648,9.19166488642255,1.8288599730550428
12min,12,PERSISTENCE,reference,validation,temperature,480,135.0,5.855720164609052,6.957119498375578,-0.3878765432098767,-1.7198695249846283,25.221076072333553,5.038443059723936
12min,12,SEASONAL_NAIVE_24H,reference,validation,temperature,480,135.0,1.1656316872427985,1.478485183920281,-0.12403086419753077,0.877164726143659,5.349013040191758,1.0029456189313786
12min,12,ROLLING_MEAN_6H,reference,validation,temperature,480,135.0,6.250524417009602,7.044833827699697,-0.4069537722908093,-1.7888852917844016,27.289587714372455,5.378144870865701
12min,12,DIURNAL_CLIMATOLOGY,reference,validation,temperature,480,135.0,1.9034733149707292,2.4447699216286782,1.8404627763061165,0.6641347035336571,8.358812713867339,1.6378074162675227
12min,12,PERSISTENCE,reference,validation,relative_humidity,60,135.0,3.2616563786008217,4.530646769411289,-0.039919753086420186,0.8452577095333843,5.277755776875626,0.8879651318964612
