resolution,model,target,horizon_minutes,alpha,validation_mae,fit_seconds,inference_seconds
12min,VAR_DIRECT_RIDGE,temperature,480,0.01,2.406561083328365,0.01026449992787093,0.0003988000098615885
12min,VAR_DIRECT_RIDGE,temperature,480,0.1,2.0083099574883843,0.005852100090123713,0.00026409991551190615
12min,VAR_DIRECT_RIDGE,temperature,480,1.0,1.7188722610517553,0.0045308000408113,0.00028979999478906393
12min,VAR_DIRECT_RIDGE,temperature,480,10.0,1.6733909235037614,0.0022452999837696552,0.00028689997270703316
12min,VAR_DIRECT_RIDGE,temperature,480,100.0,1.6288374798722596,0.002125700004398823,0.0002730999840423465
12min,VAR_DIRECT_RIDGE,relative_humidity,60,0.01,2.765964320179557,0.012481500045396388,0.0003266999265179038
12min,VAR_DIRECT_RIDGE,relative_humidity,60,0.1,2.440476648524272,0.006396999931894243,0.0002707000821828842
12min,VAR_DIRECT_RIDGE,relative_humidity,60,1.0,2.4275608037138108,0.0035791000118479133,0.0002701999619603157
12min,VAR_DIRECT_RIDGE,relative_humidity,60,10.0,3.0329616367712426,0.0027655999874696136,0.00030509999487549067
12min,VAR_DIRECT_RIDGE,relative_humidity,60,100.0,3.9497122853449302,0.0019476000452414155,0.0003242000238969922
12min,VAR_DIRECT_RIDGE,relative_humidity,120,0.01,3.746661077682389,0.012262900010682642,0.0005879999371245503
12min,VAR_DIRECT_RIDGE,relative_humidity,120,0.1,3.25539163721088,0.006164599908515811,0.0002888001035898924
12min,VAR_DIRECT_RIDGE,relative_humidity,120,1.0,3.134377328257403,0.003310199943371117,0.00031150004360824823
12min,VAR_DIRECT_RIDGE,relative_humidity,120,10.0,3.5080367669340076,0.0026229999493807554,0.00032650004141032696
12min,VAR_DIRECT_RIDGE,relative_humidity,120,100.0,4.178634178593752,0.001687800046056509,0.00023370003327727318
12min,VAR_DIRECT_RIDGE,relative_humidity,240,0.01,5.720034562327508,0.011643300065770745,0.00037130003329366446
12min,VAR_DIRECT_RIDGE,relative_humidity,240,0.1,5.107937759969081,0.006156099960207939,0.000291600008495152
12min,VAR_DIRECT_RIDGE,relative_humidity,240,1.0,4.432945676906515,0.0038564999122172594,0.0002845000708475709
12min,VAR_DIRECT_RIDGE,relative_humidity,240,10.0,4.1569591235070025,0.003437899984419346,0.0003496999852359295
12min,VAR_DIRECT_RIDGE,relative_humidity,240,100.0,4.2673295711557095,0.0017945000436156988,0.0002762000076472759
12min,VAR_DIRECT_RIDGE,relative_humidity,480,0.01,6.386025361801855,0.010089099989272654,0.0003645999822765589
12min,VAR_DIRECT_RIDGE,relative_humidity,480,0.1,5.201018585141559,0.00679330003913492,0.0002983999438583851
12min,VAR_DIRECT_RIDGE,relative_humidity,480,1.0,4.2637459769742385,0.003772699972614646,0.0003256000345572829
12min,VAR_DIRECT_RIDGE,relative_humidity,480,10.0,4.26558893494482,0.0023842999944463372,0.00031400006264448166
12min,VAR_DIRECT_RIDGE,relative_humidity,480,100.0,4.068287176326792,0.0016856000293046236,0.00029470003210008144
20min,AR_DIRECT_RIDGE,temperature,60,0.01,0.5716613613702562,0.0057860000524669886,0.00032279989682137966
20min,AR_DIRECT_RIDGE,temperature,60,0.1,0.5024980095900623,0.003369600046426058,0.00027059996500611305
20min,AR_DIRECT_RIDGE,temperature,60,1.0,0.5149058881636216,0.0024500000290572643,0.0002609000075608492
20min,AR_DIRECT_RIDGE,temperature,60,10.0,0.6699115836163202,0.0018564000492915511,0.0003151999553665519
20min,AR_DIRECT_RIDGE,temperature,60,100.0,0.8995973492188044,0.0024692999431863427,0.0002759000053629279
20min,AR_DIRECT_RIDGE,temperature,120,0.01,0.8941060569869808,0.004322899971157312,0.0002834000624716282
20min,AR_DIRECT_RIDGE,temperature,120,0.1,0.832972965461367,0.002711899927817285,0.00023330003023147583
20min,AR_DIRECT_RIDGE,temperature,120,1.0,0.8020005224476763,0.0024502999149262905,0.0004382000770419836
20min,AR_DIRECT_RIDGE,temperature,120,10.0,0.9045423674740046,0.0022878999589011073,0.00024349999148398638
20min,AR_DIRECT_RIDGE,temperature,120,100.0,1.1023962320949847,0.001115199993364513,0.00022759998682886362
20min,AR_DIRECT_RIDGE,temperature,240,0.01,1.4506404841893106,0.004370899987407029,0.00027550000231713057
20min,AR_DIRECT_RIDGE,temperature,240,0.1,1.3761279450062625,0.0027655999874696136,0.00022980000358074903
20min,AR_DIRECT_RIDGE,temperature,240,1.0,1.3200556146428242,0.0021285000257194042,0.00042339996434748173
20min,AR_DIRECT_RIDGE,temperature,240,10.0,1.269834583021951,0.003350700018927455,0.00047309999354183674
20min,AR_DIRECT_RIDGE,temperature,240,100.0,1.1978163120473146,0.0015310000162571669,0.0003021000884473324
20min,AR_DIRECT_RIDGE,temperature,480,0.01,1.6246378857267953,0.006284500006586313,0.0003299999516457319
20min,AR_DIRECT_RIDGE,temperature,480,0.1,1.5310408261296269,0.002796499989926815,0.00022479996550828218
20min,AR_DIRECT_RIDGE,temperature,480,1.0,1.4297715512679674,0.0017594000091776252,0.00041360000614076853
20min,AR_DIRECT_RIDGE,temperature,480,10.0,1.3299960172309486,0.002233899896964431,0.00037590006832033396
20min,AR_DIRECT_RIDGE,temperature,480,100.0,1.288951925959573,0.001931800041347742,0.0006082999752834439
20min,AR_DIRECT_RIDGE,relative_humidity,60,0.01,1.7540381764773876,0.005952000035904348,0.00029479991644620895
20min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,1.5990252339074105,0.002790199941955507,0.00024359999224543571
20min,AR_DIRECT_RIDGE,relative_humidity,60,1.0,1.7462278073808646,0.0018137999577447772,0.00019260006956756115
20min,AR_DIRECT_RIDGE,relative_humidity,60,10.0,2.3124114292033204,0.001512099988758564,0.000269699958153069
