family_a,family_b,resolution_minutes,target,horizon_minutes,n_origins,newey_west_lag,mean_squared_error_difference_a_minus_b,newey_west_long_run_variance,dm_statistic,p_value,status,direction,p_value_holm_global,significant_after_global_holm
HYBRID_ROBUST,BASELINE,60,relative_humidity,480,211,7,0.3723775780139874,4665.4349473759985,0.07919152046812443,0.9368802890977033,ok,BASELINE_better,1.0,False
HYBRID_ROBUST,BASELINE,60,temperature,60,211,0,-2.022552047909397,18.981618034331728,-6.743328537442719,1.5479863286879342e-11,ok,HYBRID_ROBUST_better,3.0495330675152302e-09,True
HYBRID_ROBUST,BASELINE,60,temperature,120,211,1,-1.4254443841349955,14.561415753339988,-5.426123872648649,5.7590997881795826e-08,ok,HYBRID_ROBUST_better,1.0711925606014023e-05,True
HYBRID_ROBUST,BASELINE,60,temperature,240,211,3,-0.556235859968725,5.698954387737908,-3.3845631453174003,0.0007129161880116907,ok,HYBRID_ROBUST_better,0.11763117102192897,False
HYBRID_ROBUST,BASELINE,60,temperature,480,211,7,-0.07848511926432358,0.7073461774715033,-1.3555406468476294,0.17524536744168684,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,4,relative_humidity,60,2742,14,1.2189430638138012,256.9311491844637,3.9820688614773108,6.83179782471351e-05,ok,STATISTICAL_better,0.011750692258507238,True
HYBRID_ROBUST,STATISTICAL,4,relative_humidity,120,2742,29,0.7323855598397805,789.4452025448287,1.364936675135618,0.17227295395372166,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,4,relative_humidity,240,2742,59,-0.287825530636759,1811.5986601667014,-0.35410498755565345,0.7232602044242594,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,4,relative_humidity,480,2742,119,-3.994832253817539,29190.888647017386,-1.2243585398401378,0.2208170024047793,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,4,temperature,60,2742,14,0.1705202100022349,4.621925946774226,4.153345813756406,3.2764901107683764e-05,ok,STATISTICAL_better,0.0057666225949523425,True
HYBRID_ROBUST,STATISTICAL,4,temperature,120,2742,29,0.08468203427742321,8.852958870655023,1.4903243051959032,0.1361389847441104,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,4,temperature,240,2742,59,0.04702457611208223,34.38024695546071,0.4199563173626534,0.6745173652629528,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,4,temperature,480,2742,119,-0.387540409972529,395.44280151448993,-1.0204903034649608,0.30749598565567904,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,12,relative_humidity,60,378,4,1.379484708438636,160.31128840302725,2.1182671847138534,0.03415244611353837,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,12,relative_humidity,120,378,9,-1.859140146381047,433.58255559605783,-1.7358897095883763,0.08258333766175938,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,12,relative_humidity,240,378,19,-0.5294532215248328,305.126399729779,-0.5892961486051032,0.5556626280170807,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,12,relative_humidity,480,378,39,-3.5641126707004376,3928.93473743613,-1.1055029789769775,0.2689417043040869,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,12,temperature,60,378,4,0.12319977645521442,2.1587741224148087,1.6302425266472387,0.10305024918610087,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,12,temperature,120,378,9,-0.08874963266315099,7.1569471512037595,-0.644983432159065,0.5189379223798667,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,12,temperature,240,378,19,-0.24660652254844134,9.694806528159207,-1.5398587520815554,0.1235947870652292,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,12,temperature,480,378,39,-0.8313813023035596,109.22992450706873,-1.546590492971384,0.12196202365275641,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,20,relative_humidity,60,556,2,1.2092010886243647,94.65005192547812,2.9307278882571453,0.003381688556297761,ok,STATISTICAL_better,0.537688480451344,False
HYBRID_ROBUST,STATISTICAL,20,relative_humidity,120,556,5,0.7017807661319836,164.97535191342644,1.2883365424022515,0.19762883791124908,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,20,relative_humidity,240,556,11,-0.27288592490380503,422.63932029552655,-0.31299224853776053,0.7542865512715053,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,20,relative_humidity,480,556,23,-1.2762296458596862,3951.163576918832,-0.4787444140305378,0.6321204651986849,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,20,temperature,60,556,2,0.11601775721121857,1.2371302493256655,2.4595414638116555,0.01391146269871322,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,20,temperature,120,556,5,0.028260773311207087,3.721846687210451,0.3454157987001097,0.7297818016070448,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,20,temperature,240,556,11,-0.17540414372956328,12.841055080359473,-1.1541888918440562,0.24842273567847917,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,20,temperature,480,556,23,-0.19956572680297788,45.71853909015856,-0.6959486259718475,0.4864610035102811,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,30,relative_humidity,60,350,1,0.9629165970230981,77.41051769517907,2.047494333879454,0.04060957263167834,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,30,relative_humidity,120,350,3,-0.08942168328742175,183.00293403191984,-0.12366529466693722,0.9015802915195482,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,30,relative_humidity,240,350,7,-0.5402430779343381,333.70735553281526,-0.5532741039534566,0.5800757306583177,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,30,relative_humidity,480,350,15,-2.310486542279519,4841.533493853054,-0.6212208093792314,0.5344543495039549,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,30,temperature,60,350,1,0.08592544746460533,1.1305351449342538,1.5118677069046087,0.13056752073510913,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,30,temperature,120,350,3,-0.0840351134528106,1.5815827374980826,-1.2501118007776058,0.21125870956786985,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,30,temperature,240,350,7,0.025392247876102208,2.7084021873694546,0.2886546733739495,0.7728456521625533,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,30,temperature,480,350,15,-0.606044337910923,58.940886738271615,-1.4768285775030332,0.13972159408480989,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,60,relative_humidity,60,211,0,1.483537001367617,124.39395973355876,1.9321461059923348,0.05334147496222779,ok,STATISTICAL_better,1.0,False
HYBRID_ROBUST,STATISTICAL,60,relative_humidity,120,211,1,-0.29343265910944494,542.3317754482521,-0.18302783879482928,0.8547761753630987,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,60,relative_humidity,240,211,3,-2.5856287014749846,1490.569724168853,-0.972817198054224,0.33064416359971727,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,STATISTICAL,60,relative_humidity,480,211,7,-3.2196840262047814,5236.644624787921,-0.6462907340439537,0.518091087569392,ok,HYBRID_ROBUST_better,1.0,False
