target,horizon_minutes,n,rmse,nrmse,r2,mae,bias,resolution,resolution_minutes,architecture,feature_set,candidate_id,split,epochs,independent_runs
temperature,60,1446,1.2279156552558586,0.28351451564721486,0.901339054107666,1.0421888828277588,-0.8408095240592957,4min,4,GRU,SHT_TIME,1,validation,34,3
temperature,120,1446,1.412989298713155,0.3305447837927647,0.8690938949584961,1.1859776973724365,-0.7305350303649902,4min,4,GRU,SHT_TIME,1,validation,34,3
temperature,240,1446,1.6973678154245866,0.37183714978895605,0.8239402770996094,1.3708853721618652,-0.7570589780807495,4min,4,GRU,SHT_TIME,1,validation,34,3
temperature,480,1446,1.6041335891021642,0.28757385201695757,0.8512026071548462,1.3000447750091553,-0.45253533124923706,4min,4,GRU,SHT_TIME,1,validation,34,3
relative_humidity,60,1446,2.9062693605495924,0.2451950783566592,0.936027467250824,2.3024368286132812,0.33528491854667664,4min,4,GRU,SHT_TIME,1,validation,34,3
relative_humidity,120,1446,3.689212336843842,0.31688509805607556,0.8962379097938538,2.865351915359497,0.326875239610672,4min,4,GRU,SHT_TIME,1,validation,34,3
relative_humidity,240,1446,4.680013552915072,0.3857547926251233,0.8455338478088379,3.5439698696136475,0.5502811074256897,4min,4,GRU,SHT_TIME,1,validation,34,3
relative_humidity,480,1446,4.752572417131392,0.3395376200152909,0.8486272096633911,3.649928092956543,-0.6793773770332336,4min,4,GRU,SHT_TIME,1,validation,34,3
temperature,60,1446,1.245690163813784,0.28761848741685364,0.8984620571136475,1.0309697389602661,-0.7181291580200195,4min,4,LSTM,SHT_TIME,1,validation,30,3
temperature,120,1446,1.4117338280012444,0.33025108779987605,0.8693264126777649,1.1458550691604614,-0.626169741153717,4min,4,LSTM,SHT_TIME,1,validation,30,3
temperature,240,1446,1.691147359368196,0.3704744536017321,0.8252283334732056,1.3747828006744385,-0.5501372814178467,4min,4,LSTM,SHT_TIME,1,validation,30,3
temperature,480,1446,1.639539159481042,0.2939210267945957,0.8445618152618408,1.3149292469024658,-0.4012868106365204,4min,4,LSTM,SHT_TIME,1,validation,30,3
relative_humidity,60,1446,3.5382541297484735,0.29851413993690834,0.905180037021637,2.7240090370178223,0.4330759346485138,4min,4,LSTM,SHT_TIME,1,validation,30,3
relative_humidity,120,1446,3.906914494262514,0.33558463692828205,0.8836305141448975,3.0311391353607178,0.22755633294582367,4min,4,LSTM,SHT_TIME,1,validation,30,3
relative_humidity,240,1446,5.201157573088673,0.428710609132251,0.8092172145843506,3.8646843433380127,0.4029019773006439,4min,4,LSTM,SHT_TIME,1,validation,30,3
relative_humidity,480,1446,4.733162601955772,0.33815092626899246,0.8498611450195312,3.6570584774017334,-0.7061704993247986,4min,4,LSTM,SHT_TIME,1,validation,30,3
temperature,60,1446,1.4803970037704692,0.3418101542178951,0.8565949201583862,1.0811090469360352,-0.3000270426273346,4min,4,MLP,SHT_TIME,1,validation,35,3
temperature,120,1446,1.513191314214735,0.3539853389192143,0.8498691916465759,1.101270079612732,-0.1528976410627365,4min,4,MLP,SHT_TIME,1,validation,35,3
temperature,240,1446,1.5082532801732342,0.330408409870298,0.860986590385437,1.1396777629852295,-0.30941811203956604,4min,4,MLP,SHT_TIME,1,validation,35,3
temperature,480,1446,1.787699750929976,0.3204818520834221,0.8151994347572327,1.3729017972946167,0.7039808630943298,4min,4,MLP,SHT_TIME,1,validation,35,3
relative_humidity,60,1446,4.78106868624503,0.40336746726419476,0.8268702030181885,3.924872636795044,-0.8242717385292053,4min,4,MLP,SHT_TIME,1,validation,35,3
relative_humidity,120,1446,4.624859575768874,0.39725256947852766,0.8369320631027222,3.5663130283355713,-0.563458263874054,4min,4,MLP,SHT_TIME,1,validation,35,3
