resolution,architecture,candidate_id,seed,training_scope,epoch,loss,val_loss
4min,MLP,1,2028,train_with_validation_monitoring,5,0.3402494192123413,0.20425961911678314
4min,MLP,1,2028,train_with_validation_monitoring,6,0.2853040099143982,0.20307496190071106
4min,MLP,1,2028,train_with_validation_monitoring,7,0.2732788622379303,0.21775828301906586
4min,MLP,1,2028,train_with_validation_monitoring,8,0.2596069276332855,0.1924881935119629
4min,MLP,1,2028,train_with_validation_monitoring,9,0.22904843091964722,0.19896695017814636
4min,MLP,1,2028,train_with_validation_monitoring,10,0.23475533723831177,0.20288294553756714
4min,MLP,1,2028,train_with_validation_monitoring,11,0.21827910840511322,0.2065712958574295
4min,MLP,1,2028,train_with_validation_monitoring,12,0.221872940659523,0.20112372934818268
4min,MLP,1,2028,train_with_validation_monitoring,13,0.21953147649765015,0.19264480471611023
4min,MLP,1,2028,train_with_validation_monitoring,14,0.19508427381515503,0.2124129831790924
4min,MLP,1,2028,train_with_validation_monitoring,15,0.18011315166950226,0.1845521777868271
4min,MLP,1,2028,train_with_validation_monitoring,16,0.1823180466890335,0.2013772428035736
4min,MLP,1,2028,train_with_validation_monitoring,17,0.1733824610710144,0.16454574465751648
4min,MLP,1,2028,train_with_validation_monitoring,18,0.1697765439748764,0.17086023092269897
4min,MLP,1,2028,train_with_validation_monitoring,19,0.1690092533826828,0.18336759507656097
4min,MLP,1,2028,train_with_validation_monitoring,20,0.1652713567018509,0.1692899614572525
4min,MLP,1,2028,train_with_validation_monitoring,21,0.16340334713459015,0.16529786586761475
4min,MLP,1,2028,train_with_validation_monitoring,22,0.14805454015731812,0.18971478939056396
4min,MLP,1,2028,train_with_validation_monitoring,23,0.15365469455718994,0.1841960847377777
4min,MLP,1,2028,train_with_validation_monitoring,24,0.15167206525802612,0.17252472043037415
4min,MLP,1,2028,train_with_validation_monitoring,25,0.14865301549434662,0.17344841361045837
4min,MLP,1,2028,train_with_validation_monitoring,26,0.1423330307006836,0.1638108491897583
4min,MLP,1,2028,train_with_validation_monitoring,27,0.14281761646270752,0.15767714381217957
4min,MLP,1,2028,train_with_validation_monitoring,28,0.14399059116840363,0.17947813868522644
4min,MLP,1,2028,train_with_validation_monitoring,29,0.1456514149904251,0.15470470488071442
4min,MLP,1,2028,train_with_validation_monitoring,30,0.13846354186534882,0.1701694130897522
4min,MLP,1,2028,train_with_validation_monitoring,31,0.13423234224319458,0.16099867224693298
