resolution,target,family,candidate_id,parameters,fit_partition,fit_rows,fit_median,fit_seconds,inference_seconds,aic,bic,status
20min,relative_humidity,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,7560,70.21066666666667,0.33782789995893836,0.686238200054504,27140.767022485357,27161.53019353983,ok
20min,relative_humidity,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,7560,70.21066666666667,0.32485729991458356,0.6847864999435842,26319.441198047392,26347.125426120023,ok
20min,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train,7560,70.21066666666667,0.6247398999985307,0.7211272999411449,26389.26128960643,26416.94551767906,ok
20min,relative_humidity,SARIMA_EXACT,1,"{""order"": [1, 0, 0], ""seasonal_order_base"": [1, 0, 0], ""trend"": ""c""}",train,7560,70.21066666666667,248.8070128998952,24.30104529997334,25708.757540891027,25736.44123473995,ok
20min,relative_humidity,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}",train,7560,70.21066666666667,1.3433288000524044,0.5823542999569327,24818.03558581481,24852.684086386376,ok
20min,relative_humidity,STATE_SPACE,2,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,7560,70.21066666666667,8.18652640003711,1.074003600049764,24834.0016190429,24875.579025289855,ok
20min,relative_humidity,STATE_SPACE,3,"{""autoregressive"": 2, ""harmonics"": 6, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,7560,70.21066666666667,17.679973399965093,0.5836560999741778,22881.88503404279,22930.38644434646,ok
20min,relative_humidity,ARTFIMA_APPROX,1,"{""arma_order"": [1, 0], ""fractional_d"": 0.15, ""tempering_lambda"": 0.005}",train,7560,70.21066666666667,0.697240800014697,0.9807615000754595,27836.287933686443,27857.079813093962,ok
20min,relative_humidity,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}",train,7560,70.21066666666667,1.2072838000021875,0.9633389000082389,25486.263245804075,25513.985751680768,ok
20min,relative_humidity,ARTFIMA_APPROX,3,"{""arma_order"": [2, 0], ""fractional_d"": 0.35, ""tempering_lambda"": 0.01}",train,7560,70.21066666666667,1.2462407000130042,0.9601177999284118,25203.219913054883,25230.942418931576,ok
