resolution,feature_set,history_hours,history_steps,n_features,features,n_samples,file,sha256
20min,SHT_TIME,12,36,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,114,data\processed\sample_indices\20min\SHT_TIME\indices_20min_SHT_TIME_hist_12h.csv,8dfaef11d05335014848caeb929f7190032be96a957daa2f4f375378fcceaa0a
20min,SHT_TIME,24,72,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,37,data\processed\sample_indices\20min\SHT_TIME\indices_20min_SHT_TIME_hist_24h.csv,e5f747a8bc16a9a4914f839c9a5fd788ef0da5f9a01c20709656e70b2cae193d
20min,SHT_TIME,48,144,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\20min\SHT_TIME\indices_20min_SHT_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
20min,SHT_AUX_TIME,6,18,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,149,data\processed\sample_indices\20min\SHT_AUX_TIME\indices_20min_SHT_AUX_TIME_hist_06h.csv,b6a3867870afa7fea4fec3360e7d3f20b97ff12981c295bddf48ea4e0dd843a4
20min,SHT_AUX_TIME,12,36,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,114,data\processed\sample_indices\20min\SHT_AUX_TIME\indices_20min_SHT_AUX_TIME_hist_12h.csv,f385d7272de21ad9d7c103864bf2760805bdcbd82feb3437b72b15f34030b735
20min,SHT_AUX_TIME,24,72,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,37,data\processed\sample_indices\20min\SHT_AUX_TIME\indices_20min_SHT_AUX_TIME_hist_24h.csv,0537233821f179dfe8e41345127cf9146428ef9578f4e870c7406b79eb94afe0
20min,SHT_AUX_TIME,48,144,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\20min\SHT_AUX_TIME\indices_20min_SHT_AUX_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
20min,SHT_MULTISENSOR_TIME,6,18,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,76,data\processed\sample_indices\20min\SHT_MULTISENSOR_TIME\indices_20min_SHT_MULTISENSOR_TIME_hist_06h.csv,3463f88b826ec86867f4cbd8bd27d3aa873e19929fdbcf7c7521900556eb0c92
20min,SHT_MULTISENSOR_TIME,12,36,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,41,data\processed\sample_indices\20min\SHT_MULTISENSOR_TIME\indices_20min_SHT_MULTISENSOR_TIME_hist_12h.csv,06aaa717daa4add0948e4de234a9ba2f52ea4d23af0247550db0fcc416aebd86
20min,SHT_MULTISENSOR_TIME,24,72,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,6,data\processed\sample_indices\20min\SHT_MULTISENSOR_TIME\indices_20min_SHT_MULTISENSOR_TIME_hist_24h.csv,fd624e7d56e6a8657bc4e54e2228c11bed3235e29d8e69e655faced8ef7205f2
20min,SHT_MULTISENSOR_TIME,48,144,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\20min\SHT_MULTISENSOR_TIME\indices_20min_SHT_MULTISENSOR_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
30min,SHT_BASE,6,12,2,temperature | relative_humidity,95,data\processed\sample_indices\30min\SHT_BASE\indices_30min_SHT_BASE_hist_06h.csv,44cbc42a883112ff7efa7f3754325ad0c83b5dcfbb7b6925b4d48153eae3aaa3
30min,SHT_BASE,12,24,2,temperature | relative_humidity,75,data\processed\sample_indices\30min\SHT_BASE\indices_30min_SHT_BASE_hist_12h.csv,e184ac3b4b0cfd26c6f46f8ea94a0a86e1b7acf3eee88567156bbe3500393a02
30min,SHT_BASE,24,48,2,temperature | relative_humidity,27,data\processed\sample_indices\30min\SHT_BASE\indices_30min_SHT_BASE_hist_24h.csv,e3489aa76d3c296bd78860b76828cdfaf1223f724de5bc641f7a6eab4ff3d749
30min,SHT_BASE,48,96,2,temperature | relative_humidity,0,data\processed\sample_indices\30min\SHT_BASE\indices_30min_SHT_BASE_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
30min,SHT_TIME,6,12,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,95,data\processed\sample_indices\30min\SHT_TIME\indices_30min_SHT_TIME_hist_06h.csv,6a3245284f978d559569a962b53407a99d67291b27bf09cf4681be7c5d84cde6
30min,SHT_TIME,12,24,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,75,data\processed\sample_indices\30min\SHT_TIME\indices_30min_SHT_TIME_hist_12h.csv,0e4bcb4e0f42b31adec5b0bd865aa8450310899aba7464a753a7163b579a3022
30min,SHT_TIME,24,48,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,27,data\processed\sample_indices\30min\SHT_TIME\indices_30min_SHT_TIME_hist_24h.csv,448852c21f099bdd438d1358c0bf93580ad29b71c221e6c7e60bb567c3f5c3ad
30min,SHT_TIME,48,96,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\30min\SHT_TIME\indices_30min_SHT_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
30min,SHT_AUX_TIME,6,12,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,95,data\processed\sample_indices\30min\SHT_AUX_TIME\indices_30min_SHT_AUX_TIME_hist_06h.csv,cb4358cdf0743a9f87b82723e201920b629bf22abd40e68a2a217043bd64bcda
30min,SHT_AUX_TIME,12,24,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,75,data\processed\sample_indices\30min\SHT_AUX_TIME\indices_30min_SHT_AUX_TIME_hist_12h.csv,1a220d0075324881a82a79a9aa14d54f376d9a18a8664e60024f13e75ee7fc2f
30min,SHT_AUX_TIME,24,48,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,27,data\processed\sample_indices\30min\SHT_AUX_TIME\indices_30min_SHT_AUX_TIME_hist_24h.csv,c7f66ec2ed885a5aaf94fd554d19c143a6a8b83e469ec7b187afa8f246891fee
30min,SHT_AUX_TIME,48,96,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\30min\SHT_AUX_TIME\indices_30min_SHT_AUX_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
30min,SHT_MULTISENSOR_TIME,6,12,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,50,data\processed\sample_indices\30min\SHT_MULTISENSOR_TIME\indices_30min_SHT_MULTISENSOR_TIME_hist_06h.csv,c40549b5c5ec251575862eb816242006823a017f79c6e9f963de0e34a30107ae
30min,SHT_MULTISENSOR_TIME,12,24,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,32,data\processed\sample_indices\30min\SHT_MULTISENSOR_TIME\indices_30min_SHT_MULTISENSOR_TIME_hist_12h.csv,9b4d73d85b6a310ea0899fcf40a008a54e10b025722ee6ff08817757b7926fed
